"   ","AREACODE","AREANAME","PARENTCODE","AREA_LEVEL"
"1","130431","鸡泽县","1304","3"
"2","130432","广平县","1304","3"
"3","130434","魏县","1304","3"
"4","130435","曲周县","1304","3"
"5","130502","桥东区","1305","3"
"6","130521","邢台县","1305","3"
"7","130522","临城县","1305","3"
"8","130524","柏乡县","1305","3"
"9","130525","隆尧县","1305","3"
"10","130527","南和县","1305","3"
"11","130528","宁晋县","1305","3"
"12","130530","新河县","1305","3"
"13","130531","广宗县","1305","3"
"14","130533","威县","1305","3"
"15","130534","清河县","1305","3"
"16","130581","南宫市","1305","3"
"17","130606","莲池区","1306","3"
"18","130607","满城区","1306","3"
"19","341222","太和县","3412","3"
"20","341226","颍上县","3412","3"
"21","341282","界首市","3412","3"
"22","341321","砀山县","3413","3"
"23","341322","萧县","3413","3"
"24","341324","泗县","3413","3"
"25","341503","裕安区","3415","3"
"26","341504","叶集区","3415","3"
"27","341523","舒城县","3415","3"
"28","341524","金寨县","3415","3"
"29","341602","谯城区","3416","3"
"30","341622","蒙城县","3416","3"
"31","341623","利辛县","3416","3"
"32","341721","东至县","3417","3"
"33","341722","石台县","3417","3"
"34","341802","宣州区","3418","3"
"35","341822","广德县","3418","3"
"36","341823","泾县","3418","3"
"37","341825","旌德县","3418","3"
"38","341881","宁国市","3418","3"
"39","350102","鼓楼区","3501","3"
"40","350105","马尾区","3501","3"
"41","350121","闽侯县","3501","3"
"42","350122","连江县","3501","3"
"43","350124","闽清县","3501","3"
"44","350125","永泰县","3501","3"
"45","350181","福清市","3501","3"
"46","350182","长乐市","3501","3"
"47","350205","海沧区","3502","3"
"48","350206","湖里区","3502","3"
"49","350212","同安区","3502","3"
"50","350213","翔安区","3502","3"
"51","350302","城厢区","3503","3"
"52","350304","荔城区","3503","3"
"53","350322","仙游县","3503","3"
"54","350403","三元区","3504","3"
"55","350421","明溪县","3504","3"
"56","350424","宁化县","3504","3"
"57","350425","大田县","3504","3"
"58","350427","沙县","3504","3"
"59","350428","将乐县","3504","3"
"60","350430","建宁县","3504","3"
"61","350481","永安市","3504","3"
"62","350502","鲤城区","3505","3"
"63","350504","洛江区","3505","3"
"64","350505","泉港区","3505","3"
"65","350524","安溪县","3505","3"
"66","350525","永春县","3505","3"
"67","350527","金门县","3505","3"
"68","350581","石狮市","3505","3"
"69","350583","南安市","3505","3"
"70","350602","芗城区","3506","3"
"71","350622","云霄县","3506","3"
"72","350623","漳浦县","3506","3"
"73","350625","长泰县","3506","3"
"74","350626","东山县","3506","3"
"75","350628","平和县","3506","3"
"76","350702","延平区","3507","3"
"77","350721","顺昌县","3507","3"
"78","350722","浦城县","3507","3"
"79","350724","松溪县","3507","3"
"80","350725","政和县","3507","3"
"81","350782","武夷山市","3507","3"
"82","350783","建瓯市","3507","3"
"83","350803","永定区","3508","3"
"84","350821","长汀县","3508","3"
"85","350824","武平县","3508","3"
"86","350825","连城县","3508","3"
"87","360102","东湖区","3601","3"
"88","360104","青云谱区","3601","3"
"89","360105","湾里区","3601","3"
"90","360112","新建区","3601","3"
"91","360121","南昌县","3601","3"
"92","360124","进贤县","3601","3"
"93","360203","珠山区","3602","3"
"94","360222","浮梁县","3602","3"
"95","360302","安源区","3603","3"
"96","360321","莲花县","3603","3"
"97","360322","上栗县","3603","3"
"98","360402","濂溪区","3604","3"
"99","360421","九江县","3604","3"
"100","360424","修水县","3604","3"
"101","360425","永修县","3604","3"
"102","360428","都昌县","3604","3"
