"   ","AREACODE","AREANAME","PARENTCODE","AREA_LEVEL"
"1","6201","兰州市","62","2"
"2","6202","嘉峪关市","62","2"
"3","6204","白银市","62","2"
"4","6206","武威市","62","2"
"5","6207","张掖市","62","2"
"6","6209","酒泉市","62","2"
"7","6211","定西市","62","2"
"8","6212","陇南市","62","2"
"9","6230","甘南藏族自治州","62","2"
"10","6502","克拉玛依市","65","2"
"11","6504","吐鲁番市","65","2"
"12","6523","昌吉回族自治州","65","2"
"13","6528","巴音郭楞蒙古自治州","65","2"
"14","6529","阿克苏地区","65","2"
"15","6531","喀什地区","65","2"
"16","6532","和田地区","65","2"
"17","6542","塔城地区","65","2"
"18","6543","阿勒泰地区","65","2"
"19","1301","石家庄市","13","2"
"20","1303","秦皇岛市","13","2"
"21","1305","邢台市","13","2"
"22","1307","张家口市","13","2"
"23","1308","承德市","13","2"
"24","1310","廊坊市","13","2"
"25","1390","省直辖县级行政区划","13","2"
"26","1401","太原市","14","2"
"27","1403","阳泉市","14","2"
"28","1405","晋城市","14","2"
"29","1406","朔州市","14","2"
"30","1408","运城市","14","2"
"31","1410","临汾市","14","2"
"32","1411","吕梁市","14","2"
"33","1502","包头市","15","2"
"34","1504","赤峰市","15","2"
"35","1505","通辽市","15","2"
"36","1507","呼伦贝尔市","15","2"
"37","1522","兴安盟","15","2"
"38","1529","阿拉善盟","15","2"
"39","2101","沈阳市","21","2"
"40","2103","鞍山市","21","2"
"41","2105","本溪市","21","2"
"42","2106","丹东市","21","2"
"43","2108","营口市","21","2"
"44","2110","辽阳市","21","2"
"45","2111","盘锦市","21","2"
"46","2113","朝阳市","21","2"
"47","2201","长春市","22","2"
"48","2202","吉林市","22","2"
"49","2204","辽源市","22","2"
"50","2206","白山市","22","2"
"51","2207","松原市","22","2"
"52","2224","延边朝鲜族自治州","22","2"
"53","2301","哈尔滨市","23","2"
"54","2302","齐齐哈尔市","23","2"
"55","2304","鹤岗市","23","2"
"56","2306","大庆市","23","2"
"57","2307","伊春市","23","2"
"58","2309","七台河市","23","2"
"59","2311","黑河市","23","2"
"60","2312","绥化市","23","2"
"61","3201","南京市","32","2"
"62","3202","无锡市","32","2"
"63","3204","常州市","32","2"
"64","3206","南通市","32","2"
"65","3207","连云港市","32","2"
"66","3209","盐城市","32","2"
"67","3211","镇江市","32","2"
"68","3212","泰州市","32","2"
"69","3301","杭州市","33","2"
"70","3304","嘉兴市","33","2"
"71","3306","绍兴市","33","2"
"72","3308","衢州市","33","2"
"73","3309","舟山市","33","2"
"74","3311","丽水市","33","2"
"75","3402","芜湖市","34","2"
"76","3403","蚌埠市","34","2"
"77","3405","马鞍山市","34","2"
"78","3407","铜陵市","34","2"
"79","3408","安庆市","34","2"
"80","3411","滁州市","34","2"
"81","3413","宿州市","34","2"
"82","3415","六安市","34","2"
"83","3417","池州市","34","2"
"84","3418","宣城市","34","2"
"85","3502","厦门市","35","2"
"86","3504","三明市","35","2"
"87","3505","泉州市","35","2"
"88","3507","南平市","35","2"
"89","3509","宁德市","35","2"
"90","3601","南昌市","36","2"
"91","3603","萍乡市","36","2"
"92","3605","新余市","36","2"
"93","3606","鹰潭市","36","2"
"94","3608","吉安市","36","2"
"95","3610","抚州市","36","2"
"96","3611","上饶市","36","2"
"97","3702","青岛市","37","2"
"98","3704","枣庄市","37","2"
"99","3705","东营市","37","2"
"100","3706","烟台市","37","2"
"101","3708","济宁市","37","2"
"102","3709","泰安市","37","2"
"103","3711","日照市","37","2"
"104","3713","临沂市","37","2"
"105","3714","德州市","37","2"
"106","3716","滨州市","37","2"
"107","4101","郑州市","41","2"
"108","4102","开封市","41","2"
"109","4104","平顶山市","41","2"
"110","4106","鹤壁市","41","2"
"111","4107","新乡市","41","2"
"112","4109","濮阳市","41","2"
"113","4111","漯河市","41","2"
"114","4112","三门峡市","41","2"
"115","4114","商丘市","41","2"
"116","4116","周口市","41","2"
"117","4117","驻马店市","41","2"
"118","4201","武汉市","42","2"
"119","4202","黄石市","42","2"
"120","4205","宜昌市","42","2"
"121","4207","鄂州市","42","2"
"122","4208","荆门市","42","2"
"123","4210","荆州市","42","2"
"124","4211","黄冈市","42","2"
"125","4301","长沙市","43","2"
"126","4303","湘潭市","43","2"
"127","4304","衡阳市","43","2"
"128","4306","岳阳市","43","2"
"129","4308","张家界市","43","2"
"130","4309","益阳市","43","2"
"131","4311","永州市","43","2"
"132","4313","娄底市","43","2"
"133","4331","湘西土家族苗族自治州","43","2"
"134","4228","恩施土家族苗族自治州","42","2"
