"   ","AREACODE","AREANAME","PARENTCODE","AREA_LEVEL"
"1","11","北京市","","1"
"2","12","天津市","","1"
"3","14","山西省","","1"
"4","15","内蒙古自治区","","1"
"5","21","辽宁省","","1"
"6","22","吉林省","","1"
"7","23","黑龙江省","","1"
"8","32","江苏省","","1"
"9","34","安徽省","","1"
"10","35","福建省","","1"
"11","36","江西省","","1"
"12","37","山东省","","1"
"13","42","湖北省","","1"
"14","43","湖南省","","1"
"15","44","广东省","","1"
"16","45","广西壮族自治区","","1"
"17","46","海南省","","1"
"18","51","四川省","","1"
"19","52","贵州省","","1"
"20","53","云南省","","1"
"21","54","西藏自治区","","1"
"22","61","陕西省","","1"
"23","63","青海省","","1"
"24","65","新疆维吾尔自治区","","1"
"25","13","河北省","","1"
"26","31","上海市","","1"
"27","41","河南省","","1"
"28","62","甘肃省","","1"
"29","33","浙江省","","1"
"30","64","宁夏回族自治区","","1"
"31","50","重庆市","0","1"
